cmap,color_space,num_seeds,mean_best_sigma_val,std_best_sigma_val,min_best_sigma_val,max_best_sigma_val,boxplot_path,paired_t_stat_vs_ref,paired_t_p_vs_ref,mannwhitney_u_vs_ref,mannwhitney_p_vs_ref
RdBu,oklab,50,0.1849290623853073,0.03218658496793829,0.11006501944654985,0.26204047805376435,experiments/full_all_jitter_seed/RdBu_robustness_boxplot_50seeds.png,-21.78016360121797,7.481211957589147e-27,0.0,7.066071930388932e-18
RdBu,sucs,50,0.08585349103745023,0.00017286490069165,0.08549002712668917,0.08618826247533248,experiments/full_all_jitter_seed/RdBu_robustness_boxplot_50seeds.png,nan,nan,nan,nan
RdBu,jzazbz,50,0.9162313581397398,0.9851524220273838,0.12989519669142582,3.4716438993174212,experiments/full_all_jitter_seed/RdBu_robustness_boxplot_50seeds.png,-5.960172577466145,2.695412099640584e-07,0.0,7.066071930388932e-18
Spectral,lab,50,0.18362679586425806,0.0003530792590332824,0.18284913395862037,0.18422668147785623,experiments/full_all_jitter_seed/Spectral_robustness_boxplot_50seeds.png,-194.1852083676622,2.1295731572389403e-72,0.0,7.066071930388932e-18
Spectral,oklab,50,0.1254477126258842,0.012232896527475329,0.09360375189563035,0.1431609050635435,experiments/full_all_jitter_seed/Spectral_robustness_boxplot_50seeds.png,18.999949784238012,3.004451784693557e-24,2500.0,7.066071930388932e-18
Spectral,sucs,50,0.15799810335224634,0.0008319814479319605,0.15620641269171953,0.1596118677299719,experiments/full_all_jitter_seed/Spectral_robustness_boxplot_50seeds.png,nan,nan,nan,nan
Spectral,jzazbz,50,0.8540250945950515,1.0555437902876688,0.15485702407212112,3.4360111884236066,experiments/full_all_jitter_seed/Spectral_robustness_boxplot_50seeds.png,-4.662601082565194,2.434297048096397e-05,50.0,1.3493221354195963e-16
PuOr,lab,50,0.12714443204850434,0.00018775586583296937,0.12681897402947104,0.12764599056210135,experiments/full_all_jitter_seed/PuOr_robustness_boxplot_50seeds.png,-659.9731999784028,2.025201200335615e-98,0.0,7.066071930388932e-18
PuOr,oklab,50,0.17817928972542,0.028909965030586,0.08868913060723882,0.22603542686906378,experiments/full_all_jitter_seed/PuOr_robustness_boxplot_50seeds.png,-18.278483003713497,1.591028990076251e-23,50.0,1.3493221354195963e-16
PuOr,sucs,50,0.1035699856835915,0.00017618833636274414,0.1032540322159348,0.10402685631961173,experiments/full_all_jitter_seed/PuOr_robustness_boxplot_50seeds.png,nan,nan,nan,nan
PuOr,jzazbz,50,0.6922206983058458,0.9046909990703061,0.14255970014555974,3.244294401943845,experiments/full_all_jitter_seed/PuOr_robustness_boxplot_50seeds.png,-4.600913751353374,2.994096593556948e-05,0.0,7.066071930388932e-18
PRGn,lab,50,0.10127473868808579,0.00011416041413988858,0.10099622215768084,0.10152932691527548,experiments/full_all_jitter_seed/PRGn_robustness_boxplot_50seeds.png,-601.440894662078,1.916737406886464e-96,0.0,7.066071930388932e-18
PRGn,oklab,50,0.16719901756440542,0.02917032304015811,0.09142973840892885,0.23212468919366855,experiments/full_all_jitter_seed/PRGn_robustness_boxplot_50seeds.png,-20.84165743116127,5.269008150873807e-26,0.0,7.066071930388932e-18
PRGn,sucs,50,0.08114506240554929,0.0001872449159272104,0.08082022823986093,0.08149811842827305,experiments/full_all_jitter_seed/PRGn_robustness_boxplot_50seeds.png,nan,nan,nan,nan
PRGn,jzazbz,50,1.1183877260466657,1.054301935345685,0.13994681048631938,3.7756168782645205,experiments/full_all_jitter_seed/PRGn_robustness_boxplot_50seeds.png,-6.95679952448424,7.738818051353775e-09,0.0,7.066071930388932e-18
BrBG,lab,50,0.11427530256934236,0.0004122297477014282,0.11330672773928235,0.11508466725709367,experiments/full_all_jitter_seed/BrBG_robustness_boxplot_50seeds.png,-714.5393099864317,4.1318930428220065e-100,0.0,7.066071930388932e-18
BrBG,oklab,50,0.1734480698944229,0.040051778478220855,0.09806232469276692,0.2795535797641483,experiments/full_all_jitter_seed/BrBG_robustness_boxplot_50seeds.png,-18.349494494698746,1.3473402674071072e-23,0.0,7.066071930388932e-18
BrBG,sucs,50,0.06961579325255408,0.00022728124598061998,0.06907914482359472,0.07014014299092504,experiments/full_all_jitter_seed/BrBG_robustness_boxplot_50seeds.png,nan,nan,nan,nan
BrBG,jzazbz,50,1.3270585443226337,1.0839430302328068,0.17753363855462195,4.299096893670297,experiments/full_all_jitter_seed/BrBG_robustness_boxplot_50seeds.png,-8.203055875197814,9.36320023865349e-11,0.0,7.066071930388932e-18
PiYG,lab,50,0.10195407413135756,0.00029146693318277237,0.10124101813348989,0.10257432564929267,experiments/full_all_jitter_seed/PiYG_robustness_boxplot_50seeds.png,-390.0497429822235,3.1346664527373683e-87,0.0,7.066071930388932e-18
PiYG,oklab,50,0.1609090841010227,0.027413800850879612,0.10371057487049633,0.21738200238226058,experiments/full_all_jitter_seed/PiYG_robustness_boxplot_50seeds.png,-21.482739038131346,1.378409317354158e-26,0.0,7.066071930388932e-18
PiYG,sucs,50,0.07778757238479488,0.0002976658507493017,0.07713787860217361,0.0784939416238092,experiments/full_all_jitter_seed/PiYG_robustness_boxplot_50seeds.png,nan,nan,nan,nan
PiYG,jzazbz,50,0.7187077836418796,0.9664195073756467,0.09017074323335687,3.5206705414702064,experiments/full_all_jitter_seed/PiYG_robustness_boxplot_50seeds.png,-4.689202109147313,2.2258428630844498e-05,0.0,7.066071930388932e-18
viridis,lab,50,0.02815802401747596,0.00018100073649356178,0.02782677980019179,0.0286512667044236,experiments/full_all_jitter_seed/viridis_robustness_boxplot_50seeds.png,16.789740253176937,5.825607336603077e-22,2480.0,2.331658126760535e-17
viridis,oklab,50,0.05125914495714322,0.00439088052853339,0.0443184239372182,0.056377267211595875,experiments/full_all_jitter_seed/viridis_robustness_boxplot_50seeds.png,-36.396243879185626,3.924241169688596e-37,0.0,7.066071930388932e-18
viridis,sucs,50,0.028827161569785657,0.0001944747509781286,0.028312844284104546,0.029171802957249273,experiments/full_all_jitter_seed/viridis_robustness_boxplot_50seeds.png,nan,nan,nan,nan
viridis,jzazbz,50,1.8129648568735397,1.1756432230967697,0.0,4.191326954108417,experiments/full_all_jitter_seed/viridis_robustness_boxplot_50seeds.png,-10.730981214872632,1.8374027115093947e-14,100.0,2.2912196829653406e-15
plasma,lab,50,0.05158102579132125,0.00031952652899044313,0.05049278973345762,0.0522659211012165,experiments/full_all_jitter_seed/plasma_robustness_boxplot_50seeds.png,56.09456638987468,4.037549940527107e-46,2500.0,7.066071930388932e-18
plasma,oklab,50,0.04337295560058862,0.0005776574597923799,0.041699487226946,0.04391739053552741,experiments/full_all_jitter_seed/plasma_robustness_boxplot_50seeds.png,134.3949550107438,1.3976669181916344e-64,2500.0,7.066071930388932e-18
plasma,sucs,50,0.0542512093565483,0.00016782444221822554,0.05382839966306924,0.05455525045444399,experiments/full_all_jitter_seed/plasma_robustness_boxplot_50seeds.png,nan,nan,nan,nan
plasma,jzazbz,50,0.7543245005930457,0.854015265630026,0.07535195785602283,3.5196417871922643,experiments/full_all_jitter_seed/plasma_robustness_boxplot_50seeds.png,-5.796467868589279,4.810631255006266e-07,0.0,7.066071930388932e-18
inferno,lab,50,0.0739549300206018,0.0005303335195516549,0.07248675874200096,0.07512292405432512,experiments/full_all_jitter_seed/inferno_robustness_boxplot_50seeds.png,-186.9102743440307,1.3796973149390882e-71,0.0,7.066071930388932e-18
inferno,oklab,50,0.047477035242123794,0.0023149149661760723,0.042638190214541585,0.051067231249052075,experiments/full_all_jitter_seed/inferno_robustness_boxplot_50seeds.png,30.356149727714783,1.9673600312661113e-33,2500.0,7.066071930388932e-18
inferno,sucs,50,0.05780031639281485,0.00037403035960183433,0.05698450030396477,0.058633816007238125,experiments/full_all_jitter_seed/inferno_robustness_boxplot_50seeds.png,nan,nan,nan,nan
inferno,jzazbz,50,1.0166585890607929,0.5224218217084873,0.0,3.1995562094525103,experiments/full_all_jitter_seed/inferno_robustness_boxplot_50seeds.png,-12.978489792710986,1.7887841067462773e-17,50.0,1.3493221354195963e-16
magma,lab,50,0.060023155742409774,0.00032124246660072687,0.05906554559742923,0.06071458963975261,experiments/full_all_jitter_seed/magma_robustness_boxplot_50seeds.png,-99.28847232545392,3.670000297307687e-58,0.0,7.066071930388932e-18
magma,oklab,50,0.03900974568573309,0.0010374609646384661,0.03627933332060103,0.04158108010627566,experiments/full_all_jitter_seed/magma_robustness_boxplot_50seeds.png,89.93047313806761,4.5706883643596325e-56,2500.0,7.066071930388932e-18
magma,sucs,50,0.05336992711517875,0.0003087637618746946,0.052598356918114014,0.05409705429753108,experiments/full_all_jitter_seed/magma_robustness_boxplot_50seeds.png,nan,nan,nan,nan
magma,jzazbz,50,0.9545044702511397,0.5867345771962597,0.1967093031884954,2.89965201047439,experiments/full_all_jitter_seed/magma_robustness_boxplot_50seeds.png,-10.859300998450829,1.215288984491523e-14,0.0,7.066071930388932e-18
cividis,lab,50,0.0265015697786963,0.00029206236533571063,0.025734734999702438,0.027122053811161197,experiments/full_all_jitter_seed/cividis_robustness_boxplot_50seeds.png,-58.59535699213869,4.912590018655198e-47,0.0,7.066071930388932e-18
cividis,oklab,50,0.07140066229343253,0.015273187243652663,0.038085376231823925,0.08815729084995023,experiments/full_all_jitter_seed/cividis_robustness_boxplot_50seeds.png,-22.289547654758643,2.6682791052683863e-27,0.0,7.066071930388932e-18
cividis,sucs,50,0.023282846681295048,0.00026310988257906927,0.02255028869982543,0.023860273012347066,experiments/full_all_jitter_seed/cividis_robustness_boxplot_50seeds.png,nan,nan,nan,nan
cividis,jzazbz,50,1.2904634446444825,0.8991538315958382,0.0,3.8442108065000458,experiments/full_all_jitter_seed/cividis_robustness_boxplot_50seeds.png,-9.965080558228246,2.2607579219388107e-13,50.0,1.3493221354195963e-16
RdYlBu,lab,50,0.11850826197848441,0.00023313632154294028,0.11801607540537737,0.11904124080811329,experiments/full_all_jitter_seed/RdYlBu_robustness_boxplot_50seeds.png,-789.8868154180241,3.040414230246724e-102,0.0,7.066071930388932e-18
RdYlBu,oklab,50,0.13420692673771023,0.02577948325465212,0.07028313042522727,0.17229257821232044,experiments/full_all_jitter_seed/RdYlBu_robustness_boxplot_50seeds.png,-14.038341962193664,8.499621737744197e-19,50.0,1.3493221354195963e-16
RdYlBu,sucs,50,0.08300700286257501,0.0002474776558106827,0.08256329267653513,0.08362634298699034,experiments/full_all_jitter_seed/RdYlBu_robustness_boxplot_50seeds.png,nan,nan,nan,nan
RdYlBu,jzazbz,50,0.6345785426595183,0.8866810800184605,0.12700102708632294,3.3288977503825317,experiments/full_all_jitter_seed/RdYlBu_robustness_boxplot_50seeds.png,-4.39852761411764,5.8667077209310755e-05,0.0,7.066071930388932e-18
GnBu,lab,50,0.05217355665020491,0.0006989936656084791,0.05033847268127109,0.054926235651250814,experiments/full_all_jitter_seed/GnBu_robustness_boxplot_50seeds.png,-56.290084921223766,3.4133663081320522e-46,0.0,7.066071930388932e-18
GnBu,oklab,50,0.09535775245053209,0.016940594572252235,0.06951638268408343,0.13129078640606573,experiments/full_all_jitter_seed/GnBu_robustness_boxplot_50seeds.png,-26.99874369342859,4.465958871032913e-31,0.0,7.066071930388932e-18
GnBu,sucs,50,0.029558633467204304,0.002795667975704703,0.02622768058856891,0.03693027827443171,experiments/full_all_jitter_seed/GnBu_robustness_boxplot_50seeds.png,nan,nan,nan,nan
GnBu,jzazbz,50,0.9533502094122807,1.074046066548471,0.10623652963059943,4.372515792944324,experiments/full_all_jitter_seed/GnBu_robustness_boxplot_50seeds.png,-6.083352563866752,1.7410331860596615e-07,0.0,7.066071930388932e-18
YlOrRd,lab,50,0.0705421583169771,0.0007370068955367868,0.06798702436854043,0.07214164911421303,experiments/full_all_jitter_seed/YlOrRd_robustness_boxplot_50seeds.png,-20.828241735833398,5.420866499510278e-26,0.0,7.066071930388932e-18
YlOrRd,oklab,50,0.04755489414661098,0.005840103331720521,0.03876130630890341,0.059976942950278105,experiments/full_all_jitter_seed/YlOrRd_robustness_boxplot_50seeds.png,-3.652103427430283,0.0006319787946787004,866.0,0.008198594343879826
YlOrRd,sucs,50,0.04117295091074609,0.010072174527467944,0.023522560504502785,0.053718985052926674,experiments/full_all_jitter_seed/YlOrRd_robustness_boxplot_50seeds.png,nan,nan,nan,nan
YlOrRd,jzazbz,50,0.6192759633246931,0.7951278270673223,0.09995140649636265,3.414479514248388,experiments/full_all_jitter_seed/YlOrRd_robustness_boxplot_50seeds.png,-5.148249571214993,4.643673852249618e-06,0.0,7.066071930388932e-18
gray,lab,50,0.1110845149673966,0.005790011442387091,0.0985640896536315,0.12169705738683596,experiments/full_all_jitter_seed/gray_robustness_boxplot_50seeds.png,-47.338551767897826,1.4231733211320446e-42,0.0,7.066071930388932e-18
gray,oklab,50,0.14189348268714927,0.005324170715059961,0.1320009386636231,0.14948662116551012,experiments/full_all_jitter_seed/gray_robustness_boxplot_50seeds.png,-85.16575966828619,6.474541157420998e-55,0.0,7.066071930388932e-18
gray,sucs,50,0.07102541808651097,0.0014155932256654643,0.06805960920054215,0.07423181629693273,experiments/full_all_jitter_seed/gray_robustness_boxplot_50seeds.png,nan,nan,nan,nan
gray,jzazbz,50,1.2274102172795354,0.7783992754695757,0.18349869179543474,4.041856648356996,experiments/full_all_jitter_seed/gray_robustness_boxplot_50seeds.png,-10.507635286346417,3.791596525746092e-14,0.0,7.066071930388932e-18
